series,year,value
T1051,1993-01-01,3927.88
T1051,1994-01-01,3985.44
T1051,1995-01-01,4046.52
T1051,1996-01-01,4081.97
T1051,1997-01-01,4102.0
T1051,1998-01-01,4135.1
T1051,1999-01-01,4154.26
T1051,2000-01-01,4189.3
T1051,2001-01-01,4229.48
T1051,2002-01-01,4270.53
T1051,2003-01-01,4305.18
T1051,2004-01-01,4348.24
T1051,2005-01-01,4397.92
T1051,2006-01-01,4467.28
T1051,2007-01-01,4555.21
T1051,2008-01-01,4617.79
T1051,2009-01-01,4678.65
T10533,1993-01-01,2071.2
T10533,1994-01-01,2121.4
T10533,1995-01-01,2187.1
T10533,1996-01-01,2238.7
T10533,1997-01-01,2291.1
T10533,1998-01-01,2335.1
T10533,1999-01-01,2360.5
T10533,2000-01-01,2396.3
T10533,2001-01-01,2398.7
T10533,2002-01-01,2405.8
T10533,2003-01-01,2408.6
T10533,2004-01-01,2421.3
T10533,2005-01-01,2419.1
T10533,2006-01-01,2445.4
T10533,2007-01-01,2439.6
T10533,2008-01-01,2433.2
T10533,2009-01-01,2439.1
T10534,1993-01-01,1579.4
T10534,1994-01-01,1589.8
T10534,1995-01-01,1587.5
T10534,1996-01-01,1579.4
T10534,1997-01-01,1596.1
T10534,1998-01-01,1609.3
T10534,1999-01-01,1612.9
T10534,2000-01-01,1629.7
T10534,2001-01-01,1625.5
T10534,2002-01-01,1628.6
T10534,2003-01-01,1634.0
T10534,2004-01-01,1640.2
T10534,2005-01-01,1639.8
T10534,2006-01-01,1652.9
T10534,2007-01-01,1663.4
T10534,2008-01-01,1660.3
T10534,2009-01-01,1665.8
T10537,1993-01-01,1555.58
T10537,1994-01-01,1572.37
T10537,1995-01-01,1603.96
T10537,1996-01-01,1605.11
T10537,1997-01-01,1622.18
T10537,1998-01-01,1634.11
T10537,1999-01-01,1644.11
T10537,2000-01-01,1652.76
T10537,2001-01-01,1662.34
T10537,2002-01-01,1667.77
T10537,2003-01-01,1676.61
T10537,2004-01-01,1691.88
T10537,2005-01-01,1721.78
T10537,2006-01-01,1769.7
T10537,2007-01-01,1790.19
T10537,2008-01-01,1818.21
T10537,2009-01-01,1854.82
T10541,1993-01-01,1894.6
T10541,1994-01-01,1884.3
T10541,1995-01-01,1862.1
T10541,1996-01-01,1828.0
T10541,1997-01-01,1790.6
T10541,1998-01-01,1893.3
T10541,1999-01-01,1861.7
T10541,2000-01-01,1836.8
T10541,2001-01-01,1783.4
T10541,2002-01-01,1769.6
T10541,2003-01-01,1739.6
T10541,2004-01-01,1746.5
T10541,2005-01-01,1740.5
T10541,2006-01-01,1707.6
T10541,2007-01-01,1693.5
T10541,2008-01-01,1666.9
T10541,2009-01-01,1650.9
T10543,1993-01-01,2804.8
T10543,1994-01-01,2805.0
T10543,1995-01-01,2783.3
T10543,1996-01-01,2761.0
T10543,1997-01-01,2753.7
T10543,1998-01-01,2716.6
T10543,1999-01-01,2681.7
T10543,2000-01-01,2626.2
T10543,2001-01-01,2565.5
T10543,2002-01-01,2477.2
T10543,2003-01-01,2410.2
T10543,2004-01-01,2362.4
T10543,2005-01-01,2326.8
T10543,2006-01-01,2246.3
T10543,2007-01-01,2190.7
T10543,2008-01-01,2144.9
T10543,2009-01-01,2093.2
T10562,1993-01-01,1584.0
T10562,1994-01-01,1573.2
T10562,1995-01-01,1593.5
T10562,1996-01-01,1591.8
T10562,1997-01-01,1602.4
T10562,1998-01-01,1614.2
T10562,1999-01-01,1637.9
T10562,2000-01-01,1646.8
T10562,2001-01-01,1630.8
T10562,2002-01-01,1625.0
T10562,2003-01-01,1607.7
T10562,2004-01-01,1614.3
T10562,2005-01-01,1611.1
T10562,2006-01-01,1632.9
T10562,2007-01-01,1636.3
T10562,2008-01-01,1651.7
T10562,2009-01-01,1644.3
T10563,1993-01-01,3771.7
T10563,1994-01-01,3812.8
T10563,1995-01-01,3881.2
T10563,1996-01-01,3952.9
T10563,1997-01-01,4049.7
T10563,1998-01-01,4117.5
T10563,1999-01-01,4173.7
T10563,2000-01-01,4214.5
T10563,2001-01-01,4229.1
T10563,2002-01-01,4271.3
T10563,2003-01-01,4275.7
T10563,2004-01-01,4324.5
T10563,2005-01-01,4329.1
T10563,2006-01-01,4405.4
T10563,2007-01-01,4466.0
T10563,2008-01-01,4540.4
T10563,2009-01-01,4576.8
T10565,1993-01-01,1866.6
T10565,1994-01-01,1912.2
T10565,1995-01-01,1964.9
T10565,1996-01-01,2009.7
T10565,1997-01-01,2043.1
T10565,1998-01-01,2083.1
T10565,1999-01-01,2143.0
T10565,2000-01-01,2180.4
T10565,2001-01-01,2199.0
T10565,2002-01-01,2257.4
T10565,2003-01-01,2321.1
T10565,2004-01-01,2325.8
T10565,2005-01-01,2358.8
T10565,2006-01-01,2431.9
T10565,2007-01-01,2503.6
T10565,2008-01-01,2517.4
T10565,2009-01-01,2535.1
T10566,1993-01-01,1427.1
T10566,1994-01-01,1437.9
T10566,1995-01-01,1457.3
T10566,1996-01-01,1473.3
T10566,1997-01-01,1500.5
T10566,1998-01-01,1515.7
T10566,1999-01-01,1525.6
T10566,2000-01-01,1535.2
T10566,2001-01-01,1509.1
T10566,2002-01-01,1531.0
T10566,2003-01-01,1514.7
T10566,2004-01-01,1517.1
T10566,2005-01-01,1520.2
T10566,2006-01-01,1503.9
T10566,2007-01-01,1504.2
T10566,2008-01-01,1507.5
T10566,2009-01-01,1515.7
T10567,1993-01-01,2438.0
T10567,1994-01-01,2462.6
T10567,1995-01-01,2491.7
T10567,1996-01-01,2513.3
T10567,1997-01-01,2516.3
T10567,1998-01-01,2529.1
T10567,1999-01-01,2527.0
T10567,2000-01-01,2548.6
T10567,2001-01-01,2556.4
T10567,2002-01-01,2555.2
T10567,2003-01-01,2531.6
T10567,2004-01-01,2513.2
T10567,2005-01-01,2508.7
T10567,2006-01-01,2518.4
T10567,2007-01-01,2526.3
T10567,2008-01-01,2560.5
T10567,2009-01-01,2564.4
T10575,1993-01-01,4017.9
T10575,1994-01-01,4101.5
T10575,1995-01-01,4208.1
T10575,1996-01-01,4304.3
T10575,1997-01-01,4381.4
T10575,1998-01-01,4477.4
T10575,1999-01-01,4573.3
T10575,2000-01-01,4664.3
T10575,2001-01-01,4717.8
T10575,2002-01-01,4702.0
T10575,2003-01-01,4711.2
T10575,2004-01-01,4723.9
T10575,2005-01-01,4758.6
T10575,2006-01-01,4782.3
T10575,2007-01-01,4786.5
T10575,2008-01-01,4809.7
T10575,2009-01-01,4819.7
T10578,1993-01-01,2221.6
T10578,1994-01-01,2218.0
T10578,1995-01-01,2252.4
T10578,1996-01-01,2325.3
T10578,1997-01-01,2361.5
T10578,1998-01-01,2383.6
T10578,1999-01-01,2353.8
T10578,2000-01-01,2353.2
T10578,2001-01-01,2322.8
T10578,2002-01-01,2338.0
T10578,2003-01-01,2335.7
T10578,2004-01-01,2332.9
T10578,2005-01-01,2341.1
T10578,2006-01-01,2337.9
T10578,2007-01-01,2330.0
T10578,2008-01-01,2343.4
T10578,2009-01-01,2341.2
T10579,1993-01-01,1629.8
T10579,1994-01-01,1629.9
T10579,1995-01-01,1636.4
T10579,1996-01-01,1637.9
T10579,1997-01-01,1636.5
T10579,1998-01-01,1659.0
T10579,1999-01-01,1655.9
T10579,2000-01-01,1653.6
T10579,2001-01-01,1643.9
T10579,2002-01-01,1643.7
T10579,2003-01-01,1639.3
T10579,2004-01-01,1636.5
T10579,2005-01-01,1624.0
T10579,2006-01-01,1613.4
T10579,2007-01-01,1605.2
T10579,2008-01-01,1591.8
T10579,2009-01-01,1581.4
T10580,1993-01-01,1079.37
T10580,1994-01-01,1075.89
T10580,1995-01-01,1075.83
T10580,1996-01-01,1078.85
T10580,1997-01-01,1070.23
T10580,1998-01-01,1065.31
T10580,1999-01-01,1062.31
T10580,2000-01-01,1057.9
T10580,2001-01-01,1053.48
T10580,2002-01-01,1049.37
T10580,2003-01-01,1049.06
T10580,2004-01-01,1040.46
T10580,2005-01-01,1044.32
T10580,2006-01-01,1055.04
T10580,2007-01-01,1057.81
T10580,2008-01-01,1057.68
T10580,2009-01-01,1061.17
T10585,1993-01-01,1609.7
T10585,1994-01-01,1610.2
T10585,1995-01-01,1604.5
T10585,1996-01-01,1601.3
T10585,1997-01-01,1598.6
T10585,1998-01-01,1589.3
T10585,1999-01-01,1575.5
T10585,2000-01-01,1539.0
T10585,2001-01-01,1530.7
T10585,2002-01-01,1534.2
T10585,2003-01-01,1529.9
T10585,2004-01-01,1531.7
T10585,2005-01-01,1517.4
T10585,2006-01-01,1505.5
T10585,2007-01-01,1486.8
T10585,2008-01-01,1484.9
T10585,2009-01-01,1476.3
T10587,1993-01-01,2017.5
T10587,1994-01-01,2047.0
T10587,1995-01-01,2055.5
T10587,1996-01-01,2092.8
T10587,1997-01-01,2092.1
T10587,1998-01-01,2108.2
T10587,1999-01-01,2127.2
T10587,2000-01-01,2136.8
T10587,2001-01-01,2121.5
T10587,2002-01-01,2101.1
T10587,2003-01-01,2091.7
T10587,2004-01-01,2069.9
T10587,2005-01-01,2053.7
T10587,2006-01-01,2102.3
T10587,2007-01-01,2090.6
T10587,2008-01-01,2100.2
T10587,2009-01-01,2108.3
T10588,1993-01-01,1747.65
T10588,1994-01-01,1776.25
T10588,1995-01-01,1808.1
T10588,1996-01-01,1833.2
T10588,1997-01-01,1864.21
T10588,1998-01-01,1887.16
T10588,1999-01-01,1900.49
T10588,2000-01-01,1903.63
T10588,2001-01-01,1907.21
T10588,2002-01-01,1926.94
T10588,2003-01-01,1939.33
T10588,2004-01-01,1955.69
T10588,2005-01-01,1972.96
T10588,2006-01-01,2035.5
T10588,2007-01-01,2051.16
T10588,2008-01-01,2075.22
T10588,2009-01-01,2108.59
T10589,1993-01-01,4514.6
T10589,1994-01-01,4595.6
T10589,1995-01-01,4601.0
T10589,1996-01-01,4652.3
T10589,1997-01-01,4723.4
T10589,1998-01-01,4793.5
T10589,1999-01-01,4828.5
T10589,2000-01-01,4857.4
T10589,2001-01-01,4898.8
T10589,2002-01-01,4927.2
T10589,2003-01-01,4953.9
T10589,2004-01-01,4982.4
T10589,2005-01-01,4996.4
T10589,2006-01-01,5111.4
T10589,2007-01-01,5153.4
T10589,2008-01-01,5208.9
T10589,2009-01-01,5224.5
T10595,1993-01-01,4429.56
T10595,1994-01-01,4466.91
T10595,1995-01-01,4502.81
T10595,1996-01-01,4542.11
T10595,1997-01-01,4588.83
T10595,1998-01-01,4640.63
T10595,1999-01-01,4690.65
T10595,2000-01-01,4743.77
T10595,2001-01-01,4788.89
T10595,2002-01-01,4832.0
T10595,2003-01-01,4857.3
T10595,2004-01-01,4867.56
T10595,2005-01-01,4883.29
T10595,2006-01-01,4891.89
T10595,2007-01-01,4913.95
T10595,2008-01-01,4942.06
T10595,2009-01-01,4972.64
T10599,1993-01-01,1824.9
T10599,1994-01-01,1811.7
T10599,1995-01-01,1804.9
T10599,1996-01-01,1792.0
T10599,1997-01-01,1784.8
T10599,1998-01-01,1760.8
T10599,1999-01-01,1745.6
T10599,2000-01-01,1721.1
T10599,2001-01-01,1757.0
T10599,2002-01-01,1731.1
T10599,2003-01-01,1707.9
T10599,2004-01-01,1678.4
T10599,2005-01-01,1655.8
T10599,2006-01-01,1624.4
T10599,2007-01-01,1615.3
T10599,2008-01-01,1608.0
T10599,2009-01-01,1591.6
T10608,1993-01-01,3058.52
T10608,1994-01-01,3110.08
T10608,1995-01-01,3192.18
T10608,1996-01-01,3281.59
T10608,1997-01-01,3356.4
T10608,1998-01-01,3432.31
T10608,1999-01-01,3505.2
T10608,2000-01-01,3579.29
T10608,2001-01-01,3635.99
T10608,2002-01-01,3681.84
T10608,2003-01-01,3720.59
T10608,2004-01-01,3766.9
T10608,2005-01-01,3811.35
T10608,2006-01-01,3853.58
T10608,2007-01-01,3900.07
T10608,2008-01-01,3932.08
T10608,2009-01-01,3962.44
T10610,1993-01-01,1711.3
T10610,1994-01-01,1741.4
T10610,1995-01-01,1776.0
T10610,1996-01-01,1813.7
T10610,1997-01-01,1841.4
T10610,1998-01-01,1877.8
T10610,1999-01-01,1912.5
T10610,2000-01-01,1946.4
T10610,2001-01-01,1947.6
T10610,2002-01-01,1971.0
T10610,2003-01-01,2002.2
T10610,2004-01-01,2008.6
T10610,2005-01-01,2004.6
T10610,2006-01-01,2023.0
T10610,2007-01-01,2030.6
T10610,2008-01-01,2051.5
T10610,2009-01-01,2055.8
T10613,1993-01-01,2039.6
T10613,1994-01-01,2092.2
T10613,1995-01-01,2144.2
T10613,1996-01-01,2181.5
T10613,1997-01-01,2206.9
T10613,1998-01-01,2241.4
T10613,1999-01-01,2252.0
T10613,2000-01-01,2281.7
T10613,2001-01-01,2277.2
T10613,2002-01-01,2322.3
T10613,2003-01-01,2343.3
T10613,2004-01-01,2351.1
T10613,2005-01-01,2361.8
T10613,2006-01-01,2374.7
T10613,2007-01-01,2396.9
T10613,2008-01-01,2388.8
T10613,2009-01-01,2389.9
T10614,1993-01-01,3366.5
T10614,1994-01-01,3423.9
T10614,1995-01-01,3489.0
T10614,1996-01-01,3583.3
T10614,1997-01-01,3639.3
T10614,1998-01-01,3670.3
T10614,1999-01-01,3712.8
T10614,2000-01-01,3727.0
T10614,2001-01-01,3714.0
T10614,2002-01-01,3720.6
T10614,2003-01-01,3738.1
T10614,2004-01-01,3757.7
T10614,2005-01-01,3811.4
T10614,2006-01-01,3835.4
T10614,2007-01-01,3858.3
T10614,2008-01-01,3899.7
T10614,2009-01-01,3890.6
T10615,1993-01-01,1147.2
T10615,1994-01-01,1149.9
T10615,1995-01-01,1162.9
T10615,1996-01-01,1181.1
T10615,1997-01-01,1181.5
T10615,1998-01-01,1208.7
T10615,1999-01-01,1214.3
T10615,2000-01-01,1211.1
T10615,2001-01-01,1204.0
T10615,2002-01-01,1195.8
T10615,2003-01-01,1191.8
T10615,2004-01-01,1200.5
T10615,2005-01-01,1200.1
T10615,2006-01-01,1191.3
T10615,2007-01-01,1192.6
T10615,2008-01-01,1185.9
T10615,2009-01-01,1172.8
T10617,1993-01-01,1198.3
T10617,1994-01-01,1206.0
T10617,1995-01-01,1208.5
T10617,1996-01-01,1211.4
T10617,1997-01-01,1204.2
T10617,1998-01-01,1196.5
T10617,1999-01-01,1178.2
T10617,2000-01-01,1166.2
T10617,2001-01-01,1141.8
T10617,2002-01-01,1139.8
T10617,2003-01-01,1127.7
T10617,2004-01-01,1129.8
T10617,2005-01-01,1116.0
T10617,2006-01-01,1108.3
T10617,2007-01-01,1112.7
T10617,2008-01-01,1111.6
T10617,2009-01-01,1119.7
T10618,1993-01-01,8624.3
T10618,1994-01-01,8803.7
T10618,1995-01-01,9041.3
T10618,1996-01-01,9194.7
T10618,1997-01-01,9315.1
T10618,1998-01-01,9384.7
T10618,1999-01-01,9479.1
T10618,2000-01-01,9619.0
T10618,2001-01-01,9742.1
T10618,2002-01-01,9894.4
T10618,2003-01-01,9991.1
T10618,2004-01-01,10081.9
T10618,2005-01-01,10211.8
T10618,2006-01-01,10414.5
T10618,2007-01-01,10591.1
T10618,2008-01-01,10756.5
T10618,2009-01-01,10854.7
T10619,1993-01-01,2288.8
T10619,1994-01-01,2289.4
T10619,1995-01-01,2288.3
T10619,1996-01-01,2291.8
T10619,1997-01-01,2299.6
T10619,1998-01-01,2296.9
T10619,1999-01-01,2293.9
T10619,2000-01-01,2294.5
T10619,2001-01-01,2305.3
T10619,2002-01-01,2307.4
T10619,2003-01-01,2313.9
T10619,2004-01-01,2316.6
T10619,2005-01-01,2301.1
T10619,2006-01-01,2305.6
T10619,2007-01-01,2307.0
T10619,2008-01-01,2285.0
T10619,2009-01-01,2269.9
T10625,1993-01-01,2370.2
T10625,1994-01-01,2391.8
T10625,1995-01-01,2450.7
T10625,1996-01-01,2484.3
T10625,1997-01-01,2524.8
T10625,1998-01-01,2546.7
T10625,1999-01-01,2551.2
T10625,2000-01-01,2567.5
T10625,2001-01-01,2651.6
T10625,2002-01-01,2661.6
T10625,2003-01-01,2694.0
T10625,2004-01-01,2713.7
T10625,2005-01-01,2714.7
T10625,2006-01-01,2694.5
T10625,2007-01-01,2717.1
T10625,2008-01-01,2715.7
T10625,2009-01-01,2697.8
T10634,1993-01-01,3173.4
T10634,1994-01-01,3209.1
T10634,1995-01-01,3295.0
T10634,1996-01-01,3353.3
T10634,1997-01-01,3415.9
T10634,1998-01-01,3477.2
T10634,1999-01-01,3515.5
T10634,2000-01-01,3569.7
T10634,2001-01-01,3584.4
T10634,2002-01-01,3632.5
T10634,2003-01-01,3649.1
T10634,2004-01-01,3657.7
T10634,2005-01-01,3691.2
T10634,2006-01-01,3702.4
T10634,2007-01-01,3726.0
T10634,2008-01-01,3743.9
T10634,2009-01-01,3757.2
T10636,1993-01-01,7166.0
T10636,1994-01-01,7280.8
T10636,1995-01-01,7294.1
T10636,1996-01-01,7270.7
T10636,1997-01-01,7136.9
T10636,1998-01-01,6851.3
T10636,1999-01-01,6662.5
T10636,2000-01-01,6600.8
T10636,2001-01-01,6543.5
T10636,2002-01-01,6517.5
T10636,2003-01-01,6495.8
T10636,2004-01-01,6678.1
T10636,2005-01-01,6625.6
T10636,2006-01-01,6685.4
T10636,2007-01-01,6581.1
T10636,2008-01-01,6640.8
T10636,2009-01-01,6596.9
T1064,1993-01-01,1443.72
T1064,1994-01-01,1459.82
T1064,1995-01-01,1481.79
T1064,1996-01-01,1499.37
T1064,1997-01-01,1501.45
T1064,1998-01-01,1508.27
T1064,1999-01-01,1515.41
T1064,2000-01-01,1525.16
T1064,2001-01-01,1531.79
T1064,2002-01-01,1535.59
T1064,2003-01-01,1541.03
T1064,2004-01-01,1554.21
T1064,2005-01-01,1564.13
T1064,2006-01-01,1580.98
T1064,2007-01-01,1595.01
T1064,2008-01-01,1602.58
T1064,2009-01-01,1600.49
T10641,1993-01-01,2040.42
T10641,1994-01-01,2058.36
T10641,1995-01-01,2072.56
T10641,1996-01-01,2093.35
T10641,1997-01-01,2102.61
T10641,1998-01-01,2125.93
T10641,1999-01-01,2132.82
T10641,2000-01-01,2139.28
T10641,2001-01-01,2149.58
T10641,2002-01-01,2170.21
T10641,2003-01-01,2188.38
T10641,2004-01-01,2204.17
T10641,2005-01-01,2222.61
T10641,2006-01-01,2254.45
T10641,2007-01-01,2271.78
T10641,2008-01-01,2296.8
T10641,2009-01-01,2320.87
T10642,1993-01-01,1836.7
T10642,1994-01-01,1838.1
T10642,1995-01-01,1849.1
T10642,1996-01-01,1824.0
T10642,1997-01-01,1820.1
T10642,1998-01-01,1806.1
T10642,1999-01-01,1814.8
T10642,2000-01-01,1827.8
T10642,2001-01-01,1822.6
T10642,2002-01-01,1811.7
T10642,2003-01-01,1807.7
T10642,2004-01-01,1796.1
T10642,2005-01-01,1791.9
T10642,2006-01-01,1781.0
T10642,2007-01-01,1776.6
T10642,2008-01-01,1771.5
T10642,2009-01-01,1774.4
T10661,1993-01-01,1710.55
T10661,1994-01-01,1760.32
T10661,1995-01-01,1805.46
T10661,1996-01-01,1845.84
T10661,1997-01-01,1883.34
T10661,1998-01-01,1908.46
T10661,1999-01-01,1936.97
T10661,2000-01-01,1974.54
T10661,2001-01-01,2008.26
T10661,2002-01-01,2043.98
T10661,2003-01-01,2072.55
T10661,2004-01-01,2102.9
T10661,2005-01-01,2132.1
T10661,2006-01-01,2156.12
T10661,2007-01-01,2203.82
T10661,2008-01-01,2263.41
T10661,2009-01-01,2305.8
T11767,1993-01-01,1121.9
T11767,1994-01-01,1137.0
T11767,1995-01-01,1143.1
T11767,1996-01-01,1157.4
T11767,1997-01-01,1162.4
T11767,1998-01-01,1165.5
T11767,1999-01-01,1175.5
T11767,2000-01-01,1158.5
T11767,2001-01-01,1135.3
T11767,2002-01-01,1124.1
T11767,2003-01-01,1128.7
T11767,2004-01-01,1101.1
T11767,2005-01-01,1095.2
T11767,2006-01-01,1071.0
T11767,2007-01-01,1094.0
T11767,2008-01-01,1087.8
T11767,2009-01-01,1091.3
T11768,1993-01-01,4191.0
T11768,1994-01-01,4266.6
T11768,1995-01-01,4317.4
T11768,1996-01-01,4312.8
T11768,1997-01-01,4320.1
T11768,1998-01-01,4350.9
T11768,1999-01-01,4366.7
T11768,2000-01-01,4353.6
T11768,2001-01-01,4356.7
T11768,2002-01-01,4367.5
T11768,2003-01-01,4394.5
T11768,2004-01-01,4453.9
T11768,2005-01-01,4496.0
T11768,2006-01-01,4546.0
T11768,2007-01-01,4658.6
T11768,2008-01-01,4752.4
T11768,2009-01-01,4832.2
T12026,1993-01-01,2125.5
T12026,1994-01-01,2130.1
T12026,1995-01-01,2142.2
T12026,1996-01-01,2145.0
T12026,1997-01-01,2166.1
T12026,1998-01-01,2186.4
T12026,1999-01-01,2187.8
T12026,2000-01-01,2202.7
T12026,2001-01-01,2203.9
T12026,2002-01-01,2227.2
T12026,2003-01-01,2241.2
T12026,2004-01-01,2252.8
T12026,2005-01-01,2241.6
T12026,2006-01-01,2249.1
T12026,2007-01-01,2240.3
T12026,2008-01-01,2228.7
T12026,2009-01-01,2229.9
T12050,1993-01-01,3788.2
T12050,1994-01-01,3854.1
T12050,1995-01-01,3907.7
T12050,1996-01-01,3980.2
T12050,1997-01-01,4075.1
T12050,1998-01-01,4157.1
T12050,1999-01-01,4237.8
T12050,2000-01-01,4287.2
T12050,2001-01-01,4363.3
T12050,2002-01-01,4453.4
T12050,2003-01-01,4526.5
T12050,2004-01-01,4560.2
T12050,2005-01-01,4596.6
T12050,2006-01-01,4675.4
T12050,2007-01-01,4792.9
T12050,2008-01-01,4909.1
T12050,2009-01-01,4994.2
T16463,1993-01-01,2146.9
T16463,1994-01-01,2168.0
T16463,1995-01-01,2207.2
T16463,1996-01-01,2232.2
T16463,1997-01-01,2270.0
T16463,1998-01-01,2311.1
T16463,1999-01-01,2343.7
T16463,2000-01-01,2373.6
T16463,2001-01-01,2421.2
T16463,2002-01-01,2472.6
T16463,2003-01-01,2546.2
T16463,2004-01-01,2615.8
T16463,2005-01-01,2670.3
T16463,2006-01-01,2697.9
T16463,2007-01-01,2733.2
T16463,2008-01-01,2778.2
T16463,2009-01-01,2784.7
T16478,1993-01-01,1539.6
T16478,1994-01-01,1607.6
T16478,1995-01-01,1710.0
T16478,1996-01-01,1726.7
T16478,1997-01-01,1737.8
T16478,1998-01-01,1758.8
T16478,1999-01-01,1753.2
T16478,2000-01-01,1765.4
T16478,2001-01-01,1761.9
T16478,2002-01-01,1779.4
T16478,2003-01-01,1806.2
T16478,2004-01-01,1823.1
T16478,2005-01-01,1812.2
T16478,2006-01-01,1817.0
T16478,2007-01-01,1834.1
T16478,2008-01-01,1821.1
T16478,2009-01-01,1807.2
T16553,1993-01-01,6309.0
T16553,1994-01-01,6362.2
T16553,1995-01-01,6374.4
T16553,1996-01-01,6425.5
T16553,1997-01-01,6467.2
T16553,1998-01-01,6510.1
T16553,1999-01-01,6479.7
T16553,2000-01-01,6501.7
T16553,2001-01-01,6488.6
T16553,2002-01-01,6495.9
T16553,2003-01-01,6516.2
T16553,2004-01-01,6553.8
T16553,2005-01-01,6609.7
T16553,2006-01-01,6656.9
T16553,2007-01-01,6704.4
T16553,2008-01-01,6762.1
T16553,2009-01-01,6778.0
T4179,1993-01-01,2215.80819227667
T4179,1994-01-01,2215.3004029746
T4179,1995-01-01,2359.46462911069
T4179,1996-01-01,2518.19733576507
T4179,1997-01-01,2538.50820719701
T4179,1998-01-01,1923.57503937866
T4179,1999-01-01,2101.46631985676
T4179,2000-01-01,3577.73157825983
T4179,2001-01-01,3763.88139693803
T4179,2002-01-01,4071.03016278264
T4179,2003-01-01,4653.81717025627
T4179,2004-01-01,5208.27014436737
T4179,2005-01-01,5753.59866030919
T4179,2006-01-01,5862.43637747585
T4179,2007-01-01,6920.94029152629
T4179,2008-01-01,8505.53392061041
T4179,2009-01-01,8155.93331149679
T636,1993-01-01,4631.3
T636,1994-01-01,4859.8
T636,1995-01-01,5038.3
T636,1996-01-01,5170.6
T636,1997-01-01,5292.5
T636,1998-01-01,5427.5
T636,1999-01-01,5544.5
T636,2000-01-01,5662.9
T636,2001-01-01,5722.4
T636,2002-01-01,5824.7
T636,2003-01-01,5984.7
T636,2004-01-01,6138.1
T636,2005-01-01,6385.9
T636,2006-01-01,6693.2
T636,2007-01-01,6787.4
T636,2008-01-01,6885.1
T636,2009-01-01,6914.7
T637,1993-01-01,4411.0
T637,1994-01-01,4458.2
T637,1995-01-01,4539.3
T637,1996-01-01,4550.5
T637,1997-01-01,4570.2
T637,1998-01-01,4597.7
T637,1999-01-01,4603.9
T637,2000-01-01,4678.5
T637,2001-01-01,4649.1
T637,2002-01-01,4650.9
T637,2003-01-01,4672.8
T637,2004-01-01,4745.4
T637,2005-01-01,4849.1
T637,2006-01-01,4886.7
T637,2007-01-01,4901.0
T637,2008-01-01,5096.3
T637,2009-01-01,5083.8
T638,1993-01-01,1723.4
T638,1994-01-01,1756.9
T638,1995-01-01,1781.4
T638,1996-01-01,1809.0
T638,1997-01-01,1812.3
T638,1998-01-01,1830.1
T638,1999-01-01,1860.9
T638,2000-01-01,1873.2
T638,2001-01-01,1880.8
T638,2002-01-01,1860.6
T638,2003-01-01,1862.5
T638,2004-01-01,1886.4
T638,2005-01-01,1880.4
T638,2006-01-01,1897.8
T638,2007-01-01,1896.4
T638,2008-01-01,1895.6
T638,2009-01-01,1890.5
T640,1993-01-01,1732.2
T640,1994-01-01,1745.7
T640,1995-01-01,1808.1
T640,1996-01-01,1885.2
T640,1997-01-01,1885.4
T640,1998-01-01,1912.7
T640,1999-01-01,1946.7
T640,2000-01-01,1920.8
T640,2001-01-01,1924.3
T640,2002-01-01,1921.5
T640,2003-01-01,1964.6
T640,2004-01-01,1960.1
T640,2005-01-01,1989.4
T640,2006-01-01,2004.7
T640,2007-01-01,2093.6
T640,2008-01-01,2137.5
